Unit,Block,SampleNo.,SampleName,AMFIsolate,ColonizationRegion,HarvestTime,Treatment,InoculationTreatment,InoculationTiming,ConcentrationPeruL.1.10,CopiesPer20uLWell,ConcentrationPeruL,ConcentrationPerGSample,AcceptedDroplets
87,5,87-R,Control-4mos-5-R,Control,Roots,4,Control,non-colonized roots,no inoculation,0,0,0,0,18687
87,5,87-S,Control-4mos-5-S,Control,Soil,4,Control,non-colonized roots,no inoculation,0,0,0,0,15786
115,6,115-R,Control-4mos-6-R,Control,Roots,4,Control,non-colonized roots,no inoculation,0,0,0,0,16217
115,6,115-S,Control-4mos-6-S,Control,Soil,4,Control,non-colonized roots,no inoculation,0,0,0,0,11046
139,7,139-R,Control-4mos-7-R,Control,Roots,4,Control,non-colonized roots,no inoculation,0,0,0,0,17787
139,7,139-S,Control-4mos-7-S,Control,Soil,4,Control,non-colonized roots,no inoculation,0,0,0,0,14833
14,1,14-R,Cuba8-co-inoc-2mos-1-R,Cuba8,Roots,2,Co-inoculation,non-colonized roots + AMF,co-inoculation,1.7,34,17,59500,18037
14,1,14-S,Cuba8-co-inoc-2mos-1-S,Cuba8,Soil,2,Co-inoculation,non-colonized roots + AMF,co-inoculation,7.4,148,74,259000,16188
26,2,26-R,Cuba8-co-inoc-2mos-2-R,Cuba8,Roots,2,Co-inoculation,non-colonized roots + AMF,co-inoculation,2.1,42,21,73500,19887
26,2,26-S,Cuba8-co-inoc-2mos-2-S,Cuba8,Soil,2,Co-inoculation,non-colonized roots + AMF,co-inoculation,6.2,124,62,217000,18639
49,3,49-R,Cuba8-co-inoc-2mos-3-R,Cuba8,Roots,2,Co-inoculation,non-colonized roots + AMF,co-inoculation,2.7,54,27,94500,17697
49,3,49-S,Cuba8-co-inoc-2mos-3-S,Cuba8,Soil,2,Co-inoculation,non-colonized roots + AMF,co-inoculation,0.55,11,5.5,19250,14908
75,4,75-R,Cuba8-co-inoc-2mos-4-R,Cuba8,Roots,2,Co-inoculation,non-colonized roots + AMF,co-inoculation,0.68,13.6,6.8,23800,18993
75,4,75-S,Cuba8-co-inoc-2mos-4-S,Cuba8,Soil,2,Co-inoculation,non-colonized roots + AMF,co-inoculation,7.8,156,78,273000,18022
90,5,90-R,Cuba8-co-inoc-2mos-5-R,Cuba8,Roots,2,Co-inoculation,non-colonized roots + AMF,co-inoculation,0.59,11.8,5.9,20650,15831
90,5,90-S,Cuba8-co-inoc-2mos-5-S,Cuba8,Soil,2,Co-inoculation,non-colonized roots + AMF,co-inoculation,0.9,18,9,31500,12556
104,6,104-R,Cuba8-co-inoc-2mos-6-R,Cuba8,Roots,2,Co-inoculation,non-colonized roots + AMF,co-inoculation,0.64,12.8,6.4,22400,14600
104,6,104-S,Cuba8-co-inoc-2mos-6-S,Cuba8,Soil,2,Co-inoculation,non-colonized roots + AMF,co-inoculation,1.3,26,13,45500,14840
134,7,134-R,Cuba8-co-inoc-2mos-7-R,Cuba8,Roots,2,Co-inoculation,non-colonized roots + AMF,co-inoculation,1,20,10,35000,14639
134,7,134-S,Cuba8-co-inoc-2mos-7-S,Cuba8,Soil,2,Co-inoculation,non-colonized roots + AMF,co-inoculation,1.3,26,13,45500,17864
20,1,20-R,Cuba8-co-inoc-4mos-1-R,Cuba8,Roots,4,Co-inoculation,non-colonized roots + AMF,co-inoculation,2.2,44,22,77000,20579
20,1,20-S,Cuba8-co-inoc-4mos-1-S,Cuba8,Soil,4,Co-inoculation,non-colonized roots + AMF,co-inoculation,8.2,164,82,287000,16386
22,2,22-R,Cuba8-co-inoc-4mos-2-R,Cuba8,Roots,4,Co-inoculation,non-colonized roots + AMF,co-inoculation,1.3,26,13,45500,20444
22,2,22-S,Cuba8-co-inoc-4mos-2-S,Cuba8,Soil,4,Co-inoculation,non-colonized roots + AMF,co-inoculation,5.2,104,52,182000,18595
56,3,56-R,Cuba8-co-inoc-4mos-3-R,Cuba8,Roots,4,Co-inoculation,non-colonized roots + AMF,co-inoculation,2.9,58,29,101500,19176
56,3,56-S,Cuba8-co-inoc-4mos-3-S,Cuba8,Soil,4,Co-inoculation,non-colonized roots + AMF,co-inoculation,1.2,24,12,42000,16611
69,4,69-R,Cuba8-co-inoc-4mos-4-R,Cuba8,Roots,4,Co-inoculation,non-colonized roots + AMF,co-inoculation,0.19,3.8,1.9,6650,18440
69,4,69-S,Cuba8-co-inoc-4mos-4-S,Cuba8,Soil,4,Co-inoculation,non-colonized roots + AMF,co-inoculation,6.9,138,69,241500,18927
88,5,88-R,Cuba8-co-inoc-4mos-5-R,Cuba8,Roots,4,Co-inoculation,non-colonized roots + AMF,co-inoculation,1.1,22,11,38500,18936
