Unit,Block,SampleNo.,SampleName,AMFIsolate,ColonizationRegion,HarvestTime,Treatment,InoculationTreatment,InoculationTiming,ConcentrationPeruL,ConcentrationPerGSample,Presence
123,7,123-S,Cuba8-pre-inoc-1-4mos-7-S,Cuba8,Soil,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,7.1,24850,1
9,1,9-R,Cuba8-pre-inoc-2-2mos-1-R,Cuba8,Roots,2,Pre-inoculation-2,pre-colonized roots + AMF,combination,16,56000,1
9,1,9-S,Cuba8-pre-inoc-2-2mos-1-S,Cuba8,Soil,2,Pre-inoculation-2,pre-colonized roots + AMF,combination,58,203000,1
23,2,23-R,Cuba8-pre-inoc-2-2mos-2-R,Cuba8,Roots,2,Pre-inoculation-2,pre-colonized roots + AMF,combination,17,59500,1
23,2,23-S,Cuba8-pre-inoc-2-2mos-2-S,Cuba8,Soil,2,Pre-inoculation-2,pre-colonized roots + AMF,combination,71,248500,1
52,3,52-R,Cuba8-pre-inoc-2-2mos-3-R,Cuba8,Roots,2,Pre-inoculation-2,pre-colonized roots + AMF,combination,27,94500,1
52,3,52-S,Cuba8-pre-inoc-2-2mos-3-S,Cuba8,Soil,2,Pre-inoculation-2,pre-colonized roots + AMF,combination,7.9,27650,1
71,4,71-R,Cuba8-pre-inoc-2-2mos-4-R,Cuba8,Roots,2,Pre-inoculation-2,pre-colonized roots + AMF,combination,9.3,32550,1
71,4,71-S,Cuba8-pre-inoc-2-2mos-4-S,Cuba8,Soil,2,Pre-inoculation-2,pre-colonized roots + AMF,combination,65,227500,1
96,5,96-R,Cuba8-pre-inoc-2-2mos-5-R,Cuba8,Roots,2,Pre-inoculation-2,pre-colonized roots + AMF,combination,8.1,28350,1
96,5,96-S,Cuba8-pre-inoc-2-2mos-5-S,Cuba8,Soil,2,Pre-inoculation-2,pre-colonized roots + AMF,combination,15,52500,1
116,6,116-R,Cuba8-pre-inoc-2-2mos-6-R,Cuba8,Roots,2,Pre-inoculation-2,pre-colonized roots + AMF,combination,9.5,33250,1
116,6,116-S,Cuba8-pre-inoc-2-2mos-6-S,Cuba8,Soil,2,Pre-inoculation-2,pre-colonized roots + AMF,combination,17,59500,1
127,7,127-R,Cuba8-pre-inoc-2-2mos-7-R,Cuba8,Roots,2,Pre-inoculation-2,pre-colonized roots + AMF,combination,17,59500,1
127,7,127-S,Cuba8-pre-inoc-2-2mos-7-S,Cuba8,Soil,2,Pre-inoculation-2,pre-colonized roots + AMF,combination,7.8,27300,1
19,1,19-R,Cuba8-pre-inoc-2-4mos-1-R,Cuba8,Roots,4,Pre-inoculation-2,pre-colonized roots + AMF,combination,14,49000,1
19,1,19-S,Cuba8-pre-inoc-2-4mos-1-S,Cuba8,Soil,4,Pre-inoculation-2,pre-colonized roots + AMF,combination,76,266000,1
32,2,32-R,Cuba8-pre-inoc-2-4mos-2-R,Cuba8,Roots,4,Pre-inoculation-2,pre-colonized roots + AMF,combination,5,17500,1
32,2,32-S,Cuba8-pre-inoc-2-4mos-2-S,Cuba8,Soil,4,Pre-inoculation-2,pre-colonized roots + AMF,combination,66,231000,1
50,3,50-R,Cuba8-pre-inoc-2-4mos-3-R,Cuba8,Roots,4,Pre-inoculation-2,pre-colonized roots + AMF,combination,27,94500,1
50,3,50-S,Cuba8-pre-inoc-2-4mos-3-S,Cuba8,Soil,4,Pre-inoculation-2,pre-colonized roots + AMF,combination,5.9,20650,1
74,4,74-R,Cuba8-pre-inoc-2-4mos-4-R,Cuba8,Roots,4,Pre-inoculation-2,pre-colonized roots + AMF,combination,7.8,27300,1
74,4,74-S,Cuba8-pre-inoc-2-4mos-4-S,Cuba8,Soil,4,Pre-inoculation-2,pre-colonized roots + AMF,combination,65,227500,1
